Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
2002,,,,,,,
   Março, 7 797,  550,  578,  716, 2 058, 3 296,  599
   Abril, 7 862,  509,  587,  727, 2 076, 3 322,  640
   Maio, 8 009,  524,  580,  725, 2 188, 3 352,  640
   Junho, 8 138,  518,  581,  757, 2 164, 3 435,  683
   Julho, 8 300,  518,  603,  771, 2 225, 3 500,  684
   Agosto, 8 445,  526,  617,  779, 2 278, 3 562,  685
   Setembro, 8 385,  524,  600,  806, 2 216, 3 569,  670
   Outubro, 8 541,  534,  603,  806, 2 247, 3 655,  695
   Novembro, 8 551,  536,  598,  805, 2 254, 3 657,  701
   Dezembro, 8 600,  554,  631,  802, 2 241, 3 687,  684
2003,,,,,,,
  Janeiro, 8 552,  557,  641,  810, 2 185, 3 672,  686
  Fevereiro, 8 581,  572,  632,  790, 2 196, 3 707,  685
  Março, 8 541,  561,  617,  805, 2 182, 3 695,  681
  Abril, 8 656,  559,  624,  821, 2 197, 3 770,  686
  Maio, 8 703,  566,  620,  803, 2 253, 3 771,  691
  Junho, 8 734,  568,  622,  814, 2 251, 3 768,  710
  Julho, 8 721,  580,  627,  809, 2 239, 3 771,  695
  Agosto, 8 884,  577,  637,  817, 2 298, 3 821,  734
  Setembro, 8 963,  586,  637,  848, 2 299, 3 877,  717
  Outubro, 8 998,  586,  656,  840, 2 292, 3 900,  723
  Novembro, 9 117,  568,  664,  853, 2 306, 4 001,  725
  Dezembro, 9 100,  575,  684,  860, 2 271, 3 981,  730
2004,,,,,,,
  Janeiro, 9 062,  574,  682,  854, 2 216, 4 005,  732
  Fevereiro, 9 060,  570,  671,  875, 2 284, 3 966,  694
  Março, 9 149,  562,  671,  886, 2 323, 3 988,  719
  Abril, 9 235,  599,  682,  895, 2 329, 4 004,  725
  Maio, 9 300,  603,  681,  887, 2 328, 4 078,  723
  Junho, 9 361,  611,  689,  888, 2 346, 4 080,  748
  Julho, 9 503,  640,  689,  886, 2 376, 4 155,  757
  Agosto, 9 494,  630,  692,  903, 2 408, 4 117,  745
  Setembro, 9 634,  630,  705,  908, 2 417, 4 211,  763
  Outubro, 9 629,  626,  706,  916, 2 413, 4 195,  773
  Novembro, 9 662,  607,  694,  922, 2 391, 4 268,  780
  Dezembro, 9 769,  621,  703,  931, 2 422, 4 303,  788
2005,,,,,,,
  Janeiro, 9 725,  589,  705,  933, 2 450, 4 260,  788
  Fevereiro, 9 836,  609,  710,  921, 2 450, 4 370,  777
  Março, 9 870,  615,  715,  924, 2 454, 4 385,  776
  Abril, 9 886,  628,  707,  929, 2 404, 4 429,  789
  Maio, 10 010,  653,  711,  951, 2 432, 4 462,  801
  Junho, 9 992,  658,  712,  964, 2 449, 4 432,  778
  Julho, 10 055,  637,  729,  943, 2 436, 4 511,  798
  Agosto, 10 041,  647,  727,  942, 2 464, 4 470,  789
  Setembro, 10 151,  655,  750,  960, 2 498, 4 484,  804
  Outubro, 10 195,  667,  745,  971, 2 486, 4 502,  824
  Novembro, 10 168,  663,  743,  985, 2 539, 4 416,  823
  Dezembro, 10 404,  669,  761, 1 028, 2 563, 4 546,  837
2006,,,,,,,
 Janeiro, 10 389,  661,  761, 1 016, 2 567, 4 561,  823
