Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
2002,,,,,,,
   Março, 1 209,  96,  93,  109,  319,  487,  104
   Abril, 1 218,  100,  104,  111,  335,  463,  105
   Maio, 1 227,  94,  99,  112,  321,  505,  96
   Junho, 1 206,  93,  99,  107,  318,  483,  106
   Julho, 1 150,  95,  89,  112,  310,  446,  99
   Agosto, 1 186,  86,  97,  114,  313,  469,  106
   Setembro, 1 234,  87,  92,  117,  333,  507,  98
   Outubro, 1 219,  95,  91,  119,  336,  480,  98
   Novembro, 1 203,  92,  92,  115,  332,  470,  104
   Dezembro, 1 166,  89,  87,  120,  289,  477,  105
2003,,,,,,,
  Janeiro, 1 211,  100,  91,  110,  320,  487,  103
  Fevereiro, 1 203,  101,  99,  105,  314,  476,  107
  Março, 1 217,  99,  97,  105,  311,  510,  96
  Abril, 1 190,  92,  96,  114,  328,  455,  106
  Maio, 1 211,  88,  99,  117,  311,  488,  108
  Junho, 1 167,  86,  95,  124,  294,  463,  106
  Julho, 1 191,  97,  96,  119,  297,  479,  103
  Agosto, 1 186,  99,  103,  118,  288,  486,  93
  Setembro, 1 182,  92,  96,  126,  282,  491,  96
  Outubro, 1 143,  90,  95,  120,  278,  463,  98
  Novembro, 1 184,  98,  91,  125,  282,  487,  102
  Dezembro, 1 239,  101,  95,  116,  280,  551,  96
2004,,,,,,,
  Janeiro, 1 139,  92,  90,  116,  274,  474,  92
  Fevereiro, 1 138,  96,  85,  111,  290,  462,  95
  Março, 1 124,  94,  90,  110,  278,  464,  88
  Abril, 1 123,  93,  84,  114,  267,  472,  94
  Maio, 1 114,  87,  84,  113,  276,  465,  89
  Junho, 1 120,  84,  88,  118,  280,  458,  92
  Julho, 1 144,  88,  85,  117,  293,  465,  96
  Agosto, 1 133,  86,  91,  121,  294,  446,  94
  Setembro, 1 131,  85,  93,  116,  309,  436,  91
  Outubro, 1 182,  97,  97,  115,  310,  465,  98
  Novembro, 1 148,  97,  97,  121,  296,  448,  88
  Dezembro, 1 166,  97,  98,  116,  286,  477,  93
2005,,,,,,,
  Janeiro, 1 126,  99,  95,  107,  273,  466,  86
  Fevereiro, 1 112,  91,  95,  108,  262,  473,  83
  Março, 1 081,  85,  93,  100,  256,  466,  80
  Abril, 1 101,  82,  97,  110,  272,  453,  87
  Maio, 1 111,  84,  100,  106,  281,  454,  85
  Junho, 1 133,  78,  100,  107,  299,  461,  89
  Julho, 1 104,  82,  96,  109,  295,  434,  89
  Agosto, 1 126,  87,  99,  106,  288,  460,  87
  Setembro, 1 115,  86,  98,  105,  292,  455,  79
  Outubro, 1 104,  92,  87,  99,  277,  467,  83
  Novembro, 1 087,  80,  97,  101,  274,  455,  80
  Dezembro, 1 102,  83,  97,  103,  271,  469,  79
2006,,,,,,,
 Janeiro, 1 086,  77,  95,  90,  262,  472,  89
  Fevereiro, 1 065,  78,  95,  97,  266,  451,  78
  Março, 1 084,  84,  92,  103,  270,  455,  81
  Abril, 1 100,  79,  93,  99,  262,  478,  88
  Maio, 1 097,  90,  87,  100,  281,  458,  81
  Junho, 1 081,  83,  91,  108,  292,  421,  85
  Julho, 1 104,  89,  85,  103,  291,  456,  81
  Agosto, 1 111,  88,  85,  113,  289,  458,  79
