Unidade da Federação/Categoria Administrativa,Total - Total Geral, Capital - Total Geral , Interior - Total Geral ,Total - Universidades, Capital - Universidades , Interior - Universidades ,Total - Centros Universitários, Capital - Centros Universitários , Interior - Centros Universitários ,Total - Faculdades Integradas, Capital - Faculdades Integradas , Interior - Faculdades Integradas ,"Total - Faculdades, Escolas e Institutos"," Capital - Faculdades, Escolas e Institutos "," Interior - Faculdades, Escolas e Institutos ",Total - CET/FaT, Capital - CET/FaT , Interior - CET/FaT 
Brasil,  2.165 ,  769 ,  1.396 ,  176 ,  81 ,  95 ,  114 ,  46 ,  68 ,  117 ,  32 ,  85 ,  1.574 ,  522 ,  1.052 ,  184 ,  88 ,  96 
Pública,  231 ,  78 ,  153 ,  90 ,  45 ,  45 ,  3 , - ,  3 ,  4 , - ,  4 ,  81 ,  11 ,  70 ,  53 ,  22 ,  31 
Federal,  97 ,  53 ,  44 ,  52 ,  30 ,  22 , - , - , - , - , - , - ,  8 ,  3 ,  5 ,  37 ,  20 ,  17 
Estadual,  75 ,  25 ,  50 ,  33 ,  15 ,  18 , - , - , - , - , - , - ,  26 ,  8 ,  18 ,  16 ,  2 ,  14 
Municipal,  59 , - ,  59 ,  5 , - ,  5 ,  3 , - ,  3 ,  4 , - ,  4 ,  47 , - ,  47 , - , - , - 
Privada,  1.934 ,  691 ,  1.243 ,  86 ,  36 ,  50 ,  111 ,  46 ,  65 ,  113 ,  32 ,  81 ,  1.493 ,  511 ,  982 ,  131 ,  66 ,  65 
Particular,  1.520 ,  545 ,  975 ,  25 ,  13 ,  12 ,  62 ,  31 ,  31 ,  93 ,  29 ,  64 ,  1.213 ,  409 ,  804 ,  127 ,  63 ,  64 
Comun/Confes/Filant,  414 ,  146 ,  268 ,  61 ,  23 ,  38 ,  49 ,  15 ,  34 ,  20 ,  3 ,  17 ,  280 ,  102 ,  178 ,  4 ,  3 ,  1 
Norte,  122 ,  79 ,  43 ,  12 ,  12 , - ,  7 ,  6 ,  1 ,  5 ,  1 ,  4 ,  91 ,  53 ,  38 ,  7 ,  7 , - 
Pública,  16 ,  15 ,  1 ,  11 ,  11 , - , - , - , - , - , - , - ,  2 ,  1 ,  1 ,  3 ,  3 , - 
Federal,  11 ,  11 , - ,  8 ,  8 , - , - , - , - , - , - , - , - , - , - ,  3 ,  3 , - 
Estadual,  4 ,  4 , - ,  3 ,  3 , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal,  1 , - ,  1 , - , - , - , - , - , - , - , - , - ,  1 , - ,  1 , - , - , - 
Privada,  106 ,  64 ,  42 ,  1 ,  1 , - ,  7 ,  6 ,  1 ,  5 ,  1 ,  4 ,  89 ,  52 ,  37 ,  4 ,  4 , - 
Particular,  89 ,  54 ,  35 ,  1 ,  1 , - ,  4 ,  4 , - ,  4 ,  1 ,  3 ,  76 ,  44 ,  32 ,  4 ,  4 , - 
Comun/Confes/Filant,  17 ,  10 ,  7 , - , - , - ,  3 ,  2 ,  1 ,  1 , - ,  1 ,  13 ,  8 ,  5 , - , - , - 
Rondônia,  24 ,  12 ,  12 ,  1 ,  1 , - ,  1 , - ,  1 ,  3 ,  1 ,  2 ,  18 ,  9 ,  9 ,  1 ,  1 , - 
Pública,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  23 ,  11 ,  12 , - , - , - ,  1 , - ,  1 ,  3 ,  1 ,  2 ,  18 ,  9 ,  9 ,  1 ,  1 , - 
Particular,  19 ,  10 ,  9 , - , - , - , - , - , - ,  3 ,  1 ,  2 ,  15 ,  8 ,  7 ,  1 ,  1 , - 
Comun/Confes/Filant,  4 ,  1 ,  3 , - , - , - ,  1 , - ,  1 , - , - , - ,  3 ,  1 ,  2 , - , - , - 
Acre,  7 ,  6 ,  1 ,  1 ,  1 , - , - , - , - , - , - , - ,  6 ,  5 ,  1 , - , - , - 
Pública,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  6 ,  5 ,  1 , - , - , - , - , - , - , - , - , - ,  6 ,  5 ,  1 , - , - , - 
Particular,  5 ,  4 ,  1 , - , - , - , - , - , - , - , - , - ,  5 ,  4 ,  1 , - , - , - 
Comun/Confes/Filant,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Amazonas,  19 ,  19 , - ,  2 ,  2 , - ,  4 ,  4 , - , - , - , - ,  12 ,  12 , - ,  1 ,  1 , - 
Pública,  3 ,  3 , - ,  2 ,  2 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  16 ,  16 , - , - , - , - ,  4 ,  4 , - , - , - , - ,  12 ,  12 , - , - , - , - 
Particular,  12 ,  12 , - , - , - , - ,  3 ,  3 , - , - , - , - ,  9 ,  9 , - , - , - , - 
Comun/Confes/Filant,  4 ,  4 , - , - , - , - ,  1 ,  1 , - , - , - , - ,  3 ,  3 , - , - , - , - 
Roraima,  11 ,  11 , - ,  1 ,  1 , - , - , - , - , - , - , - ,  8 ,  8 , - ,  2 ,  2 , - 
Pública,  3 ,  3 , - ,  1 ,  1 , - , - , - , - , - , - , - ,  1 ,  1 , - ,  1 ,  1 , - 
Federal,  2 ,  2 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  8 ,  8 , - , - , - , - , - , - , - , - , - , - ,  7 ,  7 , - ,  1 ,  1 , - 
Particular,  7 ,  7 , - , - , - , - , - , - , - , - , - , - ,  6 ,  6 , - ,  1 ,  1 , - 
Comun/Confes/Filant,  1 ,  1 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - , - , - , - 
Pará,  25 ,  15 ,  10 ,  4 ,  4 , - ,  1 ,  1 , - ,  1 , - ,  1 ,  17 ,  8 ,  9 ,  2 ,  2 , - 
Pública,  4 ,  4 , - ,  3 ,  3 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Federal,  3 ,  3 , - ,  2 ,  2 , - , - , - , - , - , - , - , - , - , - ,  1 ,  1 , - 
Estadual,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  21 ,  11 ,  10 ,  1 ,  1 , - ,  1 ,  1 , - ,  1 , - ,  1 ,  17 ,  8 ,  9 ,  1 ,  1 , - 
Particular,  18 ,  10 ,  8 ,  1 ,  1 , - ,  1 ,  1 , - ,  1 , - ,  1 ,  14 ,  7 ,  7 ,  1 ,  1 , - 
Comun/Confes/Filant,  3 ,  1 ,  2 , - , - , - , - , - , - , - , - , - ,  3 ,  1 ,  2 , - , - , - 
Amapá,  11 ,  11 , - ,  1 ,  1 , - , - , - , - , - , - , - ,  9 ,  9 , - ,  1 ,  1 , - 
Pública,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  1 ,  1 , - ,  1 ,  1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Privada,  10 ,  10 , - , - , - , - , - , - , - , - , - , - ,  9 ,  9 , - ,  1 ,  1 , - 
Particular,  10 ,  10 , - , - , - , - , - , - , - , - , - , - ,  9 ,  9 , - ,  1 ,  1 , - 
