Unidade da Federação/Categoria Administrativa,Vagas Oferecidas Total Geral,Candidatos Inscritos Total Geral,Ingressos Total Geral,Vagas Oferecidas Universidades,Candidatos Inscritos Universidades,Ingressos Universidades,Vagas Oferecidas Centros Universitários,Candidatos Inscritos Centros Universitários,Ingressos Centros Universitários,Vagas Oferecidas Faculdades Integradas,Candidatos Inscritos Faculdades Integradas,Ingressos Faculdades Integradas,"Vagas Oferecidas Faculdades, Escolas e Institutos","Candidatos Inscritos Faculdades, Escolas e Institutos","Ingressos Faculdades, Escolas e Institutos",Vagas Oferecidas CET/FaT,Candidatos Inscritos CET/FaT,Ingressos CET/FaT
Brasil,  2.435.987 ,  5.060.956 ,  1.397.281 ,  1.074.796 ,  3.268.235 ,  675.581 ,  400.068 ,  522.117 ,  220.911 ,  125.504 ,  132.631 ,  66.858 ,  751.826 ,  967.164 ,  390.698 ,  83.793 ,  170.809 ,  43.233 
Pública,  313.368 ,  2.306.630 ,  288.681 ,  255.560 ,  2.086.708 ,  240.691 ,  6.850 ,  9.594 ,  5.066 ,  4.970 ,  6.840 ,  3.281 ,  30.088 ,  88.511 ,  24.224 ,  15.900 ,  114.977 ,  15.419 
Federal,  127.334 ,  1.270.423 ,  125.375 ,  116.348 ,  1.179.439 ,  114.833 , - , - , - , - , - , - ,  646 ,  13.622 ,  639 ,  10.340 ,  77.362 ,  9.903 
Estadual,  128.948 ,  953.138 ,  122.705 ,  115.153 ,  873.068 ,  109.382 , - , - , - , - , - , - ,  8.235 ,  42.455 ,  7.807 ,  5.560 ,  37.615 ,  5.516 
Municipal,  57.086 ,  83.069 ,  40.601 ,  24.059 ,  34.201 ,  16.476 ,  6.850 ,  9.594 ,  5.066 ,  4.970 ,  6.840 ,  3.281 ,  21.207 ,  32.434 ,  15.778 , - , - , - 
Privada,  2.122.619 ,  2.754.326 ,  1.108.600 ,  819.236 ,  1.181.527 ,  434.890 ,  393.218 ,  512.523 ,  215.845 ,  120.534 ,  125.791 ,  63.577 ,  721.738 ,  878.653 ,  366.474 ,  67.893 ,  55.832 ,  27.814 
Particular,  1.374.316 ,  1.588.592 ,  656.338 ,  350.300 ,  409.454 ,  146.339 ,  235.209 ,  285.378 ,  123.110 ,  102.208 ,  104.547 ,  53.459 ,  619.390 ,  733.888 ,  305.913 ,  67.209 ,  55.325 ,  27.517 
Comun/Confes/Filant,  748.303 ,  1.165.734 ,  452.262 ,  468.936 ,  772.073 ,  288.551 ,  158.009 ,  227.145 ,  92.735 ,  18.326 ,  21.244 ,  10.118 ,  102.348 ,  144.765 ,  60.561 ,  684 ,  507 ,  297 
Norte,  126.659 ,  349.336 ,  79.102 ,  41.908 ,  234.813 ,  31.205 ,  20.911 ,  33.776 ,  14.251 ,  2.913 ,  5.209 ,  2.343 ,  58.357 ,  70.313 ,  29.694 ,  2.570 ,  5.225 ,  1.609 
Pública,  29.673 ,  226.432 ,  28.632 ,  27.183 ,  218.979 ,  26.417 , - , - , - , - , - , - ,  2.160 ,  4.690 ,  1.920 ,  330 ,  2.763 ,  295 
Federal,  14.604 ,  148.523 ,  14.279 ,  14.274 ,  145.760 ,  13.984 , - , - , - , - , - , - , - , - , - ,  330 ,  2.763 ,  295 
Estadual,  13.329 ,  73.823 ,  12.853 ,  12.909 ,  73.219 ,  12.433 , - , - , - , - , - , - ,  420 ,  604 ,  420 , - , - , - 
Municipal,  1.740 ,  4.086 ,  1.500 , - , - , - , - , - , - , - , - , - ,  1.740 ,  4.086 ,  1.500 , - , - , - 
Privada,  96.986 ,  122.904 ,  50.470 ,  14.725 ,  15.834 ,  4.788 ,  20.911 ,  33.776 ,  14.251 ,  2.913 ,  5.209 ,  2.343 ,  56.197 ,  65.623 ,  27.774 ,  2.240 ,  2.462 ,  1.314 
Particular,  82.495 ,  106.474 ,  41.945 ,  14.725 ,  15.834 ,  4.788 ,  12.475 ,  25.829 ,  9.915 ,  2.613 ,  4.495 ,  2.042 ,  50.442 ,  57.854 ,  23.886 ,  2.240 ,  2.462 ,  1.314 
Comun/Confes/Filant,  14.491 ,  16.430 ,  8.525 , - , - , - ,  8.436 ,  7.947 ,  4.336 ,  300 ,  714 ,  301 ,  5.755 ,  7.769 ,  3.888 , - , - , - 
Rondônia,  17.229 ,  34.143 ,  9.903 ,  1.190 ,  14.129 ,  1.182 ,  2.120 ,  2.319 ,  1.218 ,  2.041 ,  3.337 ,  1.530 ,  11.608 ,  14.301 ,  5.945 ,  270 ,  57 ,  28 
Pública,  1.190 ,  14.129 ,  1.182 ,  1.190 ,  14.129 ,  1.182 , - , - , - , - , - , - , - , - , - , - , - , - 
Federal,  1.190 ,  14.129 ,  1.182 ,  1.190 ,  14.129 ,  1.182 , - , - , - , - , - , - , - , - , - , - , - , - 
Estadual, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Municipal, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
