Unidade da Federação / Categoria Administrativa,Total - Total Geral, Capital - Total Geral , Interior - Total Geral ,Total - Universidades, Capital - Universidades , Interior - Universidades ,Total - Centros Universitários, Capital - Centros Universitários , Interior - Centros Universitários ,Total - Faculdades, Capital - Faculdades , Interior - Faculdades ,Total - IF e CEFET, Capital - IF e CEFET , Interior - IF e CEFET 
Brasil,  2.364 ,  846 ,  1.518 ,  195 ,  86 ,  109 ,  149 ,  60 ,  89 ,  1.980 ,  670 ,  1.310 ,  40 ,  30 ,  10 
Pública,  295 ,  98 ,  197 ,  107 ,  48 ,  59 ,  9 ,  2 ,  7 ,  139 ,  18 ,  121 ,  40 ,  30 ,  10 
Federal,  107 ,  64 ,  43 ,  63 ,  31 ,  32 , . , . , . ,  4 ,  3 ,  1 ,  40 ,  30 ,  10 
Estadual,  120 ,  33 ,  87 ,  38 ,  17 ,  21 ,  1 ,  1 , . ,  81 ,  15 ,  66 , . , . , . 
Municipal,  68 ,  1 ,  67 ,  6 , . ,  6 ,  8 ,  1 ,  7 ,  54 , . ,  54 , . , . , . 
Privada,  2.069 ,  748 ,  1.321 ,  88 ,  38 ,  50 ,  140 ,  58 ,  82 ,  1.841 ,  652 ,  1.189 , . , . , . 
Norte,  150 ,  95 ,  55 ,  17 ,  15 ,  2 ,  9 ,  6 ,  3 ,  117 ,  67 ,  50 ,  7 ,  7 , . 
Pública,  24 ,  20 ,  4 ,  15 ,  13 ,  2 ,  1 , . ,  1 ,  1 , . ,  1 ,  7 ,  7 , . 
Federal,  17 ,  15 ,  2 ,  10 ,  8 ,  2 , . , . , . , . , . , . ,  7 ,  7 , . 
Estadual,  5 ,  5 , . ,  5 ,  5 , . , . , . , . , . , . , . , . , . , . 
Municipal,  2 , . ,  2 , . , . , . ,  1 , . ,  1 ,  1 , . ,  1 , . , . , . 
Privada,  126 ,  75 ,  51 ,  2 ,  2 , . ,  8 ,  6 ,  2 ,  116 ,  67 ,  49 , . , . , . 
Rondônia,  31 ,  14 ,  17 ,  1 ,  1 , . ,  1 , . ,  1 ,  28 ,  12 ,  16 ,  1 ,  1 , . 
Pública,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  29 ,  12 ,  17 , . , . , . ,  1 , . ,  1 ,  28 ,  12 ,  16 , . , . , . 
Acre,  11 ,  10 ,  1 ,  1 ,  1 , . , . , . , . ,  9 ,  8 ,  1 ,  1 ,  1 , . 
Pública,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  9 ,  8 ,  1 , . , . , . , . , . , . ,  9 ,  8 ,  1 , . , . , . 
Amazonas,  19 ,  19 , . ,  3 ,  3 , . ,  3 ,  3 , . ,  12 ,  12 , . ,  1 ,  1 , . 
Pública,  3 ,  3 , . ,  2 ,  2 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Federal,  2 ,  2 , . ,  1 ,  1 , . , . , . , . , . , . , . ,  1 ,  1 , . 
Estadual,  1 ,  1 , . ,  1 ,  1 , . , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  16 ,  16 , . ,  1 ,  1 , . ,  3 ,  3 , . ,  12 ,  12 , . , . , . , . 
Roraima,  7 ,  7 , . ,  2 ,  2 , . ,  1 ,  1 , . ,  3 ,  3 , . ,  1 ,  1 , . 
Pública,  3 ,  3 , . ,  2 ,  2 , . , . , . , . , . , . , . ,  1 ,  1 , . 
