Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas -  Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Brasil,  3.754.284 ,  14.026.122 ,  1.944.178 ,  1.510.027 ,  9.098.982 ,  904.851 ,  621.111 ,  1.164.194 ,  313.281 ,  1.570.667 ,  2.523.399 ,  679.015 ,  52.479 ,  1.239.547 ,  47.031 ,  25.597 ,  59.475 ,  10.339 ,  16.606 ,  52.469 ,  9.148 ,  568 ,  122 ,  59 ,  7.362 ,  5.768 ,  628 ,  1.061 ,  1.116 ,  504 ,  1.969.294 ,  938.591 ,  265.554 ,  796.056 ,  409.675 ,  139.386 ,  366.924 ,  207.230 ,  57.023 ,  793.908 ,  310.270 ,  67.023 ,  12.406 ,  11.416 ,  2.122 
Pública,  530.552 ,  8.517.232 ,  451.174 ,  404.532 ,  7.064.440 ,  357.138 ,  9.949 ,  31.209 ,  5.460 ,  63.592 ,  182.036 ,  41.545 ,  52.479 ,  1.239.547 ,  47.031 ,  17.496 ,  53.011 ,  9.179 ,  15.830 ,  51.561 ,  8.546 ,  45 ,  45 ,  43 ,  560 ,  289 ,  86 ,  1.061 ,  1.116 ,  504 ,  165.644 ,  160.203 ,  41.137 ,  139.088 ,  143.307 ,  37.465 ,  4.701 ,  1.278 ,  409 ,  9.449 ,  4.202 ,  1.141 ,  12.406 ,  11.416 ,  2.122 
Federal,  313.170 ,  6.751.671 ,  284.060 ,  260.227 ,  5.496.373 ,  236.593 , . , . , . ,  464 ,  15.751 ,  436 ,  52.479 ,  1.239.547 ,  47.031 ,  7.414 ,  17.154 ,  5.151 ,  6.345 ,  16.030 ,  4.639 , . , . , . ,  8 ,  8 ,  8 ,  1.061 ,  1.116 ,  504 ,  109.428 ,  118.459 ,  30.862 ,  96.845 ,  106.871 ,  28.682 , . , . , . ,  177 ,  172 ,  58 ,  12.406 ,  11.416 ,  2.122 
Estadual,  157.739 ,  1.661.188 ,  134.554 ,  124.321 ,  1.533.223 ,  107.522 ,  600 ,  7.861 ,  540 ,  32.818 ,  120.104 ,  26.492 , . , . , . ,  9.552 ,  35.545 ,  3.918 ,  9.051 ,  35.277 ,  3.840 ,  - ,  - ,  - ,  501 ,  268 ,  78 , . , . , . ,  37.345 ,  34.464 ,  7.385 ,  33.153 ,  32.273 ,  6.828 ,  120 ,  51 ,  41 ,  4.072 ,  2.140 ,  516 , . , . , . 
Municipal,  59.643 ,  104.373 ,  32.560 ,  19.984 ,  34.844 ,  13.023 ,  9.349 ,  23.348 ,  4.920 ,  30.310 ,  46.181 ,  14.617 , . , . , . ,  530 ,  312 ,  110 ,  434 ,  254 ,  67 ,  45 ,  45 ,  43 ,  51 ,  13 ,  - , . , . , . ,  18.871 ,  7.280 ,  2.890 ,  9.090 ,  4.163 ,  1.955 ,  4.581 ,  1.227 ,  368 ,  5.200 ,  1.890 ,  567 , . , . , . 
Privada,  3.223.732 ,  5.508.890 ,  1.493.004 ,  1.105.495 ,  2.034.542 ,  547.713 ,  611.162 ,  1.132.985 ,  307.821 ,  1.507.075 ,  2.341.363 ,  637.470 , . , . , . ,  8.101 ,  6.464 ,  1.160 ,  776 ,  908 ,  602 ,  523 ,  77 ,  16 ,  6.802 ,  5.479 ,  542 , . , . , . ,  1.803.650 ,  778.388 ,  224.417 ,  656.968 ,  266.368 ,  101.921 ,  362.223 ,  205.952 ,  56.614 ,  784.459 ,  306.068 ,  65.882 , . , . , . 
Norte,  219.628 ,  1.435.224 ,  139.991 ,  76.641 ,  935.317 ,  53.281 ,  30.448 ,  153.559 ,  20.741 ,  108.114 ,  232.931 ,  61.954 ,  4.425 ,  113.417 ,  4.015 ,  2.734 ,  11.610 ,  1.456 ,  1.742 ,  10.922 ,  1.318 ,  - ,  - ,  - ,  670 ,  567 ,  108 ,  322 ,  121 ,  30 ,  74.906 ,  89.184 ,  13.113 ,  21.995 ,  34.854 ,  3.197 ,  8.890 ,  8.947 ,  2.024 ,  43.253 ,  42.799 ,  7.824 ,  768 ,  2.584 ,  68 
Pública,  48.110 ,  1.004.711 ,  41.125 ,  41.095 ,  882.609 ,  35.514 ,  1.920 ,  8.303 ,  1.250 ,  670 ,  382 ,  346 ,  4.425 ,  113.417 ,  4.015 ,  1.936 ,  11.036 ,  1.348 ,  1.614 ,  10.915 ,  1.318 ,  - ,  - ,  - ,  - ,  - ,  - ,  322 ,  121 ,  30 ,  11.000 ,  25.038 ,  1.780 ,  8.693 ,  21.777 ,  1.590 ,  884 ,  659 ,  119 ,  655 ,  18 ,  3 ,  768 ,  2.584 ,  68 
Federal,  34.021 ,  842.927 ,  30.025 ,  29.596 ,  729.510 ,  26.010 , . , . , . , . , . , . ,  4.425 ,  113.417 ,  4.015 ,  1.786 ,  10.790 ,  1.255 ,  1.464 ,  10.669 ,  1.225 , . , . , . , . , . , . ,  322 ,  121 ,  30 ,  7.201 ,  23.335 ,  1.423 ,  6.433 ,  20.751 ,  1.355 , . , . , . , . , . , . ,  768 ,  2.584 ,  68 
Estadual,  11.499 ,  153.099 ,  9.504 ,  11.499 ,  153.099 ,  9.504 , . , . , . , . , . , . , . , . , . ,  150 ,  246 ,  93 ,  150 ,  246 ,  93 , . , . , . , . , . , . , . , . , . ,  2.260 ,  1.026 ,  235 ,  2.260 ,  1.026 ,  235 , . , . , . , . , . , . , . , . , . 
