Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas - Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Brasil,  3.960.531 ,  11.761.062 ,  1.751.122 ,  1.474.027 ,  7.006.778 ,  772.575 ,  987.728 ,  1.594.789 ,  381.898 ,  1.425.394 ,  2.269.709 ,  528.164 ,  73.382 ,  889.786 ,  68.485 ,  13.308 ,  14.778 ,  2.792 ,  6.226 ,  8.510 ,  2.217 ,  974 ,  774 ,  - ,  5.945 ,  5.145 ,  465 ,  163 ,  349 ,  110 ,  2.055.863 ,  754.967 ,  280.212 ,  693.241 ,  332.883 ,  139.859 ,  572.347 ,  185.416 ,  77.437 ,  766.408 ,  220.590 ,  57.443 ,  23.867 ,  16.078 ,  5.473 
Pública,  548.625 ,  5.914.273 ,  471.114 ,  407.584 ,  4.798.270 ,  355.979 ,  11.609 ,  20.137 ,  5.409 ,  56.050 ,  206.080 ,  41.241 ,  73.382 ,  889.786 ,  68.485 ,  5.151 ,  9.224 ,  2.458 ,  4.400 ,  8.386 ,  2.142 ,  - ,  - ,  - ,  588 ,  489 ,  206 ,  163 ,  349 ,  110 ,  180.449 ,  160.186 ,  50.763 ,  142.539 ,  136.828 ,  41.685 ,  4.618 ,  880 ,  497 ,  9.425 ,  6.400 ,  3.108 ,  23.867 ,  16.078 ,  5.473 
Federal,  338.385 ,  4.305.855 ,  309.014 ,  263.959 ,  3.397.138 ,  239.581 ,  450 ,  450 ,  449 ,  594 ,  18.481 ,  499 ,  73.382 ,  889.786 ,  68.485 ,  2.435 ,  6.298 ,  1.631 ,  2.199 ,  5.876 ,  1.454 ,  - ,  - ,  - ,  73 ,  73 ,  67 ,  163 ,  349 ,  110 ,  118.041 ,  124.211 ,  33.679 ,  94.014 ,  107.973 ,  28.145 ,  - ,  - ,  - ,  160 ,  160 ,  61 ,  23.867 ,  16.078 ,  5.473 
Estadual,  161.996 ,  1.540.904 ,  141.848 ,  129.552 ,  1.379.314 ,  109.739 ,  417 ,  3.312 ,  398 ,  32.027 ,  158.278 ,  31.711 ,  - ,  - ,  - ,  1.703 ,  1.849 ,  587 ,  1.638 ,  1.693 ,  548 ,  - ,  - ,  - ,  65 ,  156 ,  39 ,  - ,  - ,  - ,  44.957 ,  30.476 ,  14.484 ,  40.144 ,  26.275 ,  11.982 ,  107 ,  125 ,  107 ,  4.706 ,  4.076 ,  2.395 ,  - ,  - ,  - 
Municipal,  48.244 ,  67.514 ,  20.252 ,  14.073 ,  21.818 ,  6.659 ,  10.742 ,  16.375 ,  4.562 ,  23.429 ,  29.321 ,  9.031 ,  - ,  - ,  - ,  1.013 ,  1.077 ,  240 ,  563 ,  817 ,  140 ,  - ,  - ,  - ,  450 ,  260 ,  100 ,  - ,  - ,  - ,  17.451 ,  5.499 ,  2.600 ,  8.381 ,  2.580 ,  1.558 ,  4.511 ,  755 ,  390 ,  4.559 ,  2.164 ,  652 ,  - ,  - ,  - 
Privada,  3.411.906 ,  5.846.789 ,  1.280.008 ,  1.066.443 ,  2.208.508 ,  416.596 ,  976.119 ,  1.574.652 ,  376.489 ,  1.369.344 ,  2.063.629 ,  486.923 ,  - ,  - ,  - ,  8.157 ,  5.554 ,  334 ,  1.826 ,  124 ,  75 ,  974 ,  774 ,  - ,  5.357 ,  4.656 ,  259 ,  - ,  - ,  - ,  1.875.414 ,  594.781 ,  229.449 ,  550.702 ,  196.055 ,  98.174 ,  567.729 ,  184.536 ,  76.940 ,  756.983 ,  214.190 ,  54.335 ,  - ,  - ,  - 
Norte,  294.204 ,  1.015.894 ,  121.942 ,  96.577 ,  571.766 ,  47.027 ,  67.308 ,  83.449 ,  28.251 ,  123.549 ,  163.365 ,  40.465 ,  6.770 ,  197.314 ,  6.199 ,  2.666 ,  3.065 ,  1.137 ,  2.121 ,  2.678 ,  1.024 ,  - ,  - ,  - ,  545 ,  387 ,  113 ,  - ,  - ,  - ,  158.618 ,  52.421 ,  13.793 ,  18.446 ,  22.400 ,  3.417 ,  35.404 ,  5.676 ,  3.478 ,  103.338 ,  23.559 ,  6.585 ,  1.430 ,  786 ,  313 
Pública,  50.793 ,  714.401 ,  42.391 ,  43.523 ,  516.961 ,  36.100 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  6.770 ,  197.314 ,  6.199 ,  2.121 ,  2.678 ,  1.024 ,  2.121 ,  2.678 ,  1.024 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  12.487 ,  18.546 ,  2.828 ,  11.057 ,  17.760 ,  2.515 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.430 ,  786 ,  313 
Federal,  38.255 ,  589.482 ,  33.974 ,  31.485 ,  392.168 ,  27.775 ,  - ,  - ,  - ,  - ,  - ,  - ,  6.770 ,  197.314 ,  6.199 ,  775 ,  1.332 ,  586 ,  775 ,  1.332 ,  586 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  9.794 ,  17.143 ,  2.608 ,  8.364 ,  16.357 ,  2.295 ,  - ,  - ,  - ,  - ,  - ,  - ,  1.430 ,  786 ,  313 
Estadual,  10.528 ,  118.715 ,  7.352 ,  10.528 ,  118.715 ,  7.352 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.346 ,  1.346 ,  438 ,  1.346 ,  1.346 ,  438 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  957 ,  887 ,  118 ,  957 ,  887 ,  118 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
Municipal,  2.010 ,  6.204 ,  1.065 ,  1.510 ,  6.078 ,  973 ,  - ,  - ,  - ,  500 ,  126 ,  92 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1.736 ,  516 ,  102 ,  1.736 ,  516 ,  102 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
