Unidade da Federação/Dependência Administrativa,Vagas Oferecidas Total,Inscrições em 1 Opção Total,Ingressos p/ Vestibular Total,Vagas Oferecidas Universidades,Inscrições em 1ª Opção Universidades,Ingressos p/ Vestibular Universidades,Vagas Oferecidas Federações de Escolas/Faculdades Integradas,Inscrições em 1ª Opção Federações de Escolas/Faculdades Integradas,Ingressos p/ Vestibular Federações de Escolas/Faculdades Integradas,Vagas Oferecidas Estabelecimentos Isolados,Inscrições em 1ª Opção Estabelecimentos Isolados,Ingressos p/ Vestibular Estabelecimentos Isolados
Brasil,610.355,2.653.853,510.377,357.133,1.890.596,305.458,83.291,222.048,64.559,169.931,541.209,140.360
Federal,84.814,737.585,72.623,81.548,703.590,69.569,0,0,0,3.266,33.995,3.054
Estadual,61.352,565.847,56.703,48.207,495.285,44.770,600,1.594,496,12.545,68.968,11.437
Municipal,31.979,95.660,28.686,12.620,50.652,12.248,1.435,2.978,1.389,17.924,42.030,15.049
Particular,432.210,1.254.761,352.365,214.758,641.069,178.871,81.256,217.476,62.674,136.196,396.216,110.820
Norte,16.746,111.592,15.118,12.692,88.226,11.129,24,32,23,4.030,23.334,3.966
Federal,9.637,72.906,8.265,9.397,70.834,8.024,0,0,0,240,2.072,241
Estadual,1.715,15.183,1.531,1.365,9.260,1.183,0,0,0,350,5.923,348
Municipal,200,1.255,197,0,0,0,0,0,0,200,1.255,197
Particular,5.194,22.248,5.125,1.930,8.132,1.922,24,32,23,3.240,14.084,3.180
Rondônia,2.604,12.100,1.794,1.660,9.411,890,24,32,23,920,2.657,881
Federal,1.660,9.411,890,1.660,9.411,890,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,944,2.689,904,0,0,0,24,32,23,920,2.657,881
Acre,730,6.950,730,730,6.950,730,0,0,0,0,0,0
Federal,730,6.950,730,730,6.950,730,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,3.635,33.749,3.622,1.625,21.590,1.625,0,0,0,2.010,12.159,1.997
Federal,1.665,21.810,1.665,1.625,21.590,1.625,0,0,0,40,220,40
Estadual,350,5.923,348,0,0,0,0,0,0,350,5.923,348
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,1.620,6.016,1.609,0,0,0,0,0,0,1.620,6.016,1.609
Roraima,1.262,4.438,864,1.262,4.438,864,0,0,0,0,0,0
Federal,1.262,4.438,864,1.262,4.438,864,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,0,0,0,0,0,0,0,0,0,0,0,0
Pará,6.850,41.623,6.579,6.050,35.546,5.788,0,0,0,800,6.077,791
Federal,4.010,25.633,3.806,3.810,23.781,3.605,0,0,0,200,1.852,201
Estadual,310,3.633,261,310,3.633,261,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,2.530,12.357,2.512,1.930,8.132,1.922,0,0,0,600,4.225,590
Amapá,410,5.850,410,310,4.664,310,0,0,0,100,1.186,100
Federal,310,4.664,310,310,4.664,310,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,100,1.186,100,0,0,0,0,0,0,100,1.186,100
Tocantins,1.255,6.882,1.119,1.055,5.627,922,0,0,0,200,1.255,197
Federal,0,0,0,0,0,0,0,0,0,0,0,0
Estadual,1.055,5.627,922,1.055,5.627,922,0,0,0,0,0,0
Municipal,200,1.255,197,0,0,0,0,0,0,200,1.255,197
Particular,0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,73.652,457.077,65.949,54.005,387.712,47.983,5.270,21.546,5.163,14.377,47.819,12.803
Federal,24.081,191.480,20.204,23.651,189.125,19.835,0,0,0,430,2.355,369
Estadual,19.490,143.002,16.803,19.060,141.660,16.422,360,757,311,70,585,70
Municipal,2.852,3.296,2.154,0,0,0,0,0,0,2.852,3.296,2.154
Particular,27.229,119.299,26.788,11.294,56.927,11.726,4.910,20.789,4.852,11.025,41.583,10.210
Maranhão,6.555,53.380,5.685,5.305,48.225,4.481,1.200,4.970,1.165,50,185,39
Federal,1.945,20.768,1.924,1.895,20.583,1.885,0,0,0,50,185,39
Estadual,3.410,27.642,2.596,3.410,27.642,2.596,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,1.200,4.970,1.165,0,0,0,1.200,4.970,1.165,0,0,0
Piauí,2.920,27.948,2.771,2.660,26.908,2.511,0,0,0,260,1.040,260
Federal,1.760,17.562,1.660,1.760,17.562,1.660,0,0,0,0,0,0
Estadual,900,9.346,851,900,9.346,851,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,260,1.040,260,0,0,0,0,0,0,260,1.040,260
Ceará,9.560,66.865,8.430,9.250,66.283,8.179,50,101,31,260,481,220
Federal,2.700,24.633,1.887,2.700,24.633,1.887,0,0,0,0,0,0
Estadual,4.235,26.865,3.684,4.235,26.865,3.684,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,2.625,15.367,2.859,2.315,14.785,2.608,50,101,31,260,481,220
R.G. do Norte,4.690,31.857,4.031,3.020,26.862,2.361,1.530,3.952,1.530,140,1.043,140
Federal,2.055,20.548,1.444,1.915,19.505,1.304,0,0,0,140,1.043,140
Estadual,1.105,7.357,1.057,1.105,7.357,1.057,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,1.530,3.952,1.530,0,0,0,1.530,3.952,1.530,0,0,0
Paraíba,8.868,41.752,8.219,6.998,32.496,6.345,1.200,7.644,1.196,670,1.612,678
Federal,4.398,19.674,3.819,4.398,19.674,3.819,0,0,0,0,0,0
Estadual,2.600,12.822,2.526,2.600,12.822,2.526,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,1.870,9.256,1.874,0,0,0,1.200,7.644,1.196,670,1.612,678
Pernambuco,19.397,83.705,17.406,11.020,66.402,9.965,0,0,0,8.377,17.303,7.441
Federal,4.560,33.793,4.298,4.560,33.793,4.298,0,0,0,0,0,0
Estadual,2.740,19.110,1.790,2.740,19.110,1.790,0,0,0,0,0,0
Municipal,2.852,3.296,2.154,0,0,0,0,0,0,2.852,3.296,2.154
Particular,9.245,27.506,9.164,3.720,13.499,3.877,0,0,0,5.525,14.007,5.287
Alagoas,3.643,13.650,3.014,1.513,6.630,1.014,360,757,311,1.770,6.263,1.689
Federal,1.513,6.630,1.014,1.513,6.630,1.014,0,0,0,0,0,0
Estadual,430,1.342,381,0,0,0,360,757,311,70,585,70
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,1.700,5.678,1.619,0,0,0,0,0,0,1.700,5.678,1.619
Sergipe,3.430,17.526,3.321,3.230,16.904,3.221,0,0,0,200,622,100
Federal,1.350,11.758,1.341,1.350,11.758,1.341,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,2.080,5.768,1.980,1.880,5.146,1.880,0,0,0,200,622,100
Bahia,14.589,120.394,13.072,11.009,97.002,9.906,930,4.122,930,2.650,19.270,2.236
Federal,3.800,36.114,2.817,3.560,34.987,2.627,0,0,0,240,1.127,190
Estadual,4.070,38.518,3.918,4.070,38.518,3.918,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,6.719,45.762,6.337,3.379,23.497,3.361,930,4.122,930,2.410,18.143,2.046
Sudeste,375.293,1.466.585,303.262,194.275,957.279,163.569,63.212,151.339,46.608,117.806,357.967,93.085
Federal,26.002,262.568,23.503,24.084,239.863,21.724,0,0,0,1.918,22.705,1.779
Estadual,23.707,323.933,22.811,18.418,280.219,18.030,30,611,30,5.259,43.103,4.751
Municipal,14.787,39.824,12.585,3.400,9.729,3.177,0,0,0,11.387,30.095,9.408
Particular,310.797,840.260,244.363,148.373,427.468,120.638,63.182,150.728,46.578,99.242,262.064,77.147
Minas Gerais,52.031,265.575,46.127,20.756,154.510,18.706,4.290,13.636,3.929,26.985,97.429,23.492
Federal,10.418,114.156,10.296,9.050,98.711,8.931,0,0,0,1.368,15.445,1.365
Estadual,2.666,10.735,2.425,1.111,7.119,1.045,0,0,0,1.555,3.616,1.380
Municipal,1.240,2.175,1.083,0,0,0,0,0,0,1.240,2.175,1.083
Particular,37.707,138.509,32.323,10.595,48.680,8.730,4.290,13.636,3.929,22.822,76.193,19.664
Espírito Santo,7.095,39.812,5.758,2.360,18.434,1.303,750,4.674,754,3.985,16.704,3.701
Federal,2.360,18.434,1.303,2.360,18.434,1.303,0,0,0,0,0,0
Estadual,330,625,38,0,0,0,30,611,30,300,14,8
Municipal,500,2.999,466,0,0,0,0,0,0,500,2.999,466
Particular,3.905,17.754,3.951,0,0,0,720,4.063,724,3.185,13.691,3.227
Rio de Janeiro,87.759,296.149,61.814,49.814,221.174,36.923,20.244,34.035,12.652,17.701,40.940,12.239
Federal,11.905,115.275,10.633,11.475,111.203,10.339,0,0,0,430,4.072,294
Estadual,4.356,57.501,4.208,4.356,57.501,4.208,0,0,0,0,0,0
Municipal,75,655,76,0,0,0,0,0,0,75,655,76
Particular,71.423,122.718,46.897,33.983,52.470,22.376,20.244,34.035,12.652,17.196,36.213,11.869
São Paulo,228.408,865.049,189.563,121.345,563.161,106.637,37.928,98.994,29.273,69.135,202.894,53.653
Federal,1.319,14.703,1.271,1.199,11.515,1.151,0,0,0,120,3.188,120
Estadual,16.355,255.072,16.140,12.951,215.599,12.777,0,0,0,3.404,39.473,3.363
Municipal,12.972,33.995,10.960,3.400,9.729,3.177,0,0,0,9.572,24.266,7.783
Particular,197.762,561.279,161.192,103.795,326.318,89.532,37.928,98.994,29.273,56.039,135.967,42.387
Sul,105.754,433.955,91.087,76.394,348.151,64.670,7.355,19.853,6.235,22.005,65.951,20.182
Federal,15.417,138.484,11.496,14.739,131.621,10.831,0,0,0,678,6.863,665
Estadual,13.310,74.900,12.829,8.334,60.543,8.247,0,0,0,4.976,14.357,4.582
Municipal,12.530,47.448,12.281,9.220,40.923,9.071,1.265,2.752,1.233,2.045,3.773,1.977
Particular,64.497,173.123,54.481,44.101,115.064,36.521,6.090,17.101,5.002,14.306,40.958,12.958
Paraná,34.850,175.292,33.000,16.519,117.162,16.255,3.510,10.808,2.975,14.821,47.322,13.770
Federal,3.948,48.660,3.931,3.408,43.562,3.404,0,0,0,540,5.098,527
Estadual,12.181,63.391,11.704,7.205,49.034,7.122,0,0,0,4.976,14.357,4.582
Municipal,1.830,3.251,1.764,0,0,0,0,0,0,1.830,3.251,1.764
Particular,16.891,59.990,15.601,5.906,24.566,5.729,3.510,10.808,2.975,7.475,24.616,6.897
Santa Catarina,17.397,83.533,15.535,13.607,74.460,11.904,1.995,4.371,1.855,1.795,4.702,1.776
Federal,3.258,22.028,1.708,3.258,22.028,1.708,0,0,0,0,0,0
Estadual,1.129,11.509,1.125,1.129,11.509,1.125,0,0,0,0,0,0
Municipal,10.700,44.197,10.517,9.220,40.923,9.071,1.265,2.752,1.233,215,522,213
Particular,2.310,5.799,2.185,0,0,0,730,1.619,622,1.580,4.180,1.563
R. G. do Sul,53.507,175.130,42.552,46.268,156.529,36.511,1.850,4.674,1.405,5.389,13.927,4.636
Federal,8.211,67.796,5.857,8.073,66.031,5.719,0,0,0,138,1.765,138
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,45.296,107.334,36.695,38.195,90.498,30.792,1.850,4.674,1.405,5.251,12.162,4.498
Centro Oeste,38.910,184.644,34.961,19.767,109.228,18.107,7.430,29.278,6.530,11.713,46.138,10.324
Federal,9.677,72.147,9.155,9.677,72.147,9.155,0,0,0,0,0,0
Estadual,3.130,8.829,2.729,1.030,3.603,888,210,226,155,1.890,5.000,1.686
Municipal,1.610,3.837,1.469,0,0,0,170,226,156,1.440,3.611,1.313
Particular,24.493,99.831,21.608,9.060,33.478,8.064,7.050,28.826,6.219,8.383,37.527,7.325
M.G. do Sul,9.329,34.111,8.403,3.916,19.173,3.793,2.300,5.210,1.985,3.113,9.728,2.625
Federal,2.026,10.815,2.047,2.026,10.815,2.047,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,7.303,23.296,6.356,1.890,8.358,1.746,2.300,5.210,1.985,3.113,9.728,2.625
Mato Grosso,8.492,25.517,6.999,5.732,19.738,4.748,1.580,2.561,1.133,1.180,3.218,1.118
Federal,2.242,11.373,1.826,2.242,11.373,1.826,0,0,0,0,0,0
Estadual,760,1.768,589,550,1.542,434,210,226,155,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,5.490,12.376,4.584,2.940,6.823,2.488,1.370,2.335,978,1.180,3.218,1.118
Goiás,12.073,54.140,10.871,6.143,32.521,5.634,650,3.321,624,5.280,18.298,4.613
Federal,2.283,16.013,2.180,2.283,16.013,2.180,0,0,0,0,0,0
Estadual,2.370,7.061,2.140,480,2.061,454,0,0,0,1.890,5.000,1.686
Municipal,1.610,3.837,1.469,0,0,0,170,226,156,1.440,3.611,1.313
Particular,5.810,27.229,5.082,3.380,14.447,3.000,480,3.095,468,1.950,9.687,1.614
Distrito Federal,9.016,70.876,8.688,3.976,37.796,3.932,2.900,18.186,2.788,2.140,14.894,1.968
Federal,3.126,33.946,3.102,3.126,33.946,3.102,0,0,0,0,0,0
Estadual,0,0,0,0,0,0,0,0,0,0,0,0
Municipal,0,0,0,0,0,0,0,0,0,0,0,0
Particular,5.890,36.930,5.586,850,3.850,830,2.900,18.186,2.788,2.140,14.894,1.968
